open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1593687600000,228.68000000,228.69000000,227.00000000,228.19000000,31022.96330000,1593691199999,7065970.51798900,9684,15202.65414000,3462300.18889860,0
1593691200000,228.19000000,229.69000000,227.60000000,229.51000000,27063.75116000,1593694799999,6191445.43491530,9729,14968.21551000,3424894.08443170,0
1593694800000,229.51000000,231.42000000,229.12000000,230.52000000,34302.14596000,1593698399999,7899479.45545870,11476,13809.38910000,3179466.69332560,0
1593698400000,230.55000000,231.06000000,228.80000000,228.96000000,18257.21193000,1593701999999,4195010.65515100,8280,8652.48501000,1989516.68785850,0
1593702000000,228.96000000,228.99000000,224.50000000,225.07000000,84869.55675000,1593705599999,19212217.16416510,23699,35698.07563000,8080888.70196260,0
1593705600000,225.09000000,226.21000000,222.87000000,225.93000000,72529.79526000,1593709199999,16300329.65947510,21243,34032.95943000,7648657.90718380,0
1593709200000,225.93000000,226.41000000,225.25000000,225.77000000,17385.65683000,1593712799999,3927091.67383380,8247,9648.11722000,2179761.82922510,0
1593712800000,225.77000000,226.72000000,224.64000000,226.23000000,15662.16970000,1593716399999,3538398.16599360,6901,8051.58047000,1819433.13393970,0
1593716400000,226.24000000,226.41000000,224.86000000,225.72000000,16462.75247000,1593719999999,3715595.90497480,6546,7179.44265000,1620511.19579150,0
1593720000000,225.73000000,226.44000000,225.10000000,226.31000000,12447.47118000,1593723599999,2810855.96569940,5456,6797.12910000,1534971.23171950,0
1593723600000,226.32000000,228.35000000,225.91000000,227.40000000,15475.90680000,1593727199999,3512010.43453700,6037,9099.89189000,2065399.79684820,0
1593727200000,227.41000000,228.14000000,226.32000000,226.87000000,26916.07622000,1593730799999,6121654.17791420,7613,13334.03383000,3032977.10517660,0
1593730800000,226.87000000,227.32000000,226.25000000,226.46000000,12398.92824000,1593734399999,2811205.72581220,5199,6120.00285000,1387902.53122960,0
